		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
ASPH	asphalt lake	a small basin containing naturally occurring asphalt
ATOL	atoll(s)	a ring-shaped coral reef which has closely spaced islands on it encircling a lagoon
BAR	bar	"a shallow ridge or mound of coarse unconsolidated material in a stream channel, at the mouth of a stream, estuary, or lagoon and in the wave-break zone along coasts"
BCH	beach	a shore zone of coarse unconsolidated sediment that extends from the low-water line to the highest reach of storm waves
BCHS	beaches	a shore zone of coarse unconsolidated sediment that extends from the low-water line to the highest reach of storm waves
BDLD	badlands	"an area characterized by a maze of very closely spaced, deep, narrow, steep-sided ravines, and sharp crests and pinnacles"
BLDR	boulder field	"a high altitude or high latitude bare, flat area covered with large angular rocks"
BLHL	blowhole(s)	a hole in coastal rock through which sea water is forced by a rising tide or waves and spurted through an outlet into the air
BLOW	blowout(s)	"a small depression in sandy terrain, caused by wind erosion"
BNCH	bench	"a long, narrow bedrock platform bounded by steeper slopes above and below, usually overlooking a waterbody"
BUTE	butte(s)	"a small, isolated, usually flat-topped hill with steep sides"
CAPE	cape	"a land area, more prominent than a point, projecting into the sea and marking a notable change in coastal direction"
CFT	cleft(s)	"a deep narrow slot, notch, or groove in a coastal cliff"
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
FORD	ford	a shallow part of a stream which can be crossed on foot or by land vehicle
FSR	fissure	a crack associated with volcanism
GAP	gap	"a low place in a ridge, not used for transportation"
GRGE	gorge(s)	"a short, narrow, steep-sided section of a stream valley"
HDLD	headland	a high projection of land extending into a large body of water beyond the line of the coast
HLL	hill	a rounded elevation of limited extent rising above the surrounding land with local relief of less than 300m
HLLS	hills	rounded elevations of limited extent rising above the surrounding land with local relief of less than 300m
HMCK	hammock(s)	"a patch of ground, distinct from and slightly above the surrounding plain or wetland. Often occurs in groups"
HMDA	rock desert	"a relatively sand-free, high bedrock plateau in a hot desert, with or without a gravel veneer"
INTF	interfluve	a relatively undissected upland between adjacent stream valleys
ISL	island	"a tract of land, smaller than a continent, surrounded by water at high water"
ISLET	islet	"small island, bigger than rock, smaller than island."
ISLF	artificial island	"an island created by landfill or diking and filling in a wetland, bay, or lagoon"
ISLM	mangrove island	a mangrove swamp surrounded by a waterbody
ISLS	islands	"tracts of land, smaller than a continent, surrounded by water at high water"
ISLT	land-tied island	"a coastal island connected to the mainland by barrier beaches, levees or dikes"
ISLX	section of island	
ISTH	isthmus	a narrow strip of land connecting two larger land masses and bordered by water
KRST	karst area	"a distinctive landscape developed on soluble rock such as limestone characterized by sinkholes, caves, disappearing streams, and underground drainage"
LAVA	lava area	an area of solidified lava
LEV	levee	a natural low embankment bordering a distributary or meandering stream; often built up artificially to control floods
MESA	mesa(s)	"a flat-topped, isolated elevation with steep slopes on all sides, less extensive than a plateau"
MND	mound(s)	"a low, isolated, rounded hill"
MRN	moraine	"a mound, ridge, or other accumulation of glacial till"
MT	mountain	"an elevation standing high above the surrounding area with small summit area, steep slopes and local relief of 300m or more"
